Provincias;Condición jurídica;Periodo;Total
Total Nacional;Total;2023;3.207.580
Total Nacional;Total;2022;3.430.663
Total Nacional;Total;2021;3.366.570
Total Nacional;Total;2020;3.404.428
Total Nacional;Total;2019;3.363.197
Total Nacional;Total;2018;3.337.646
Total Nacional;Total;2017;3.282.346
Total Nacional;Total;2016;3.236.582
02 Albacete;Total;2023;24.852
02 Albacete;Total;2022;26.473
02 Albacete;Total;2021;26.221
02 Albacete;Total;2020;26.350
02 Albacete;Total;2019;26.275
02 Albacete;Total;2018;26.743
02 Albacete;Total;2017;26.921
02 Albacete;Total;2016;26.884
03 Alicante/Alacant;Total;2023;136.754
03 Alicante/Alacant;Total;2022;147.286
03 Alicante/Alacant;Total;2021;144.573
03 Alicante/Alacant;Total;2020;145.431
03 Alicante/Alacant;Total;2019;142.933
03 Alicante/Alacant;Total;2018;138.964
03 Alicante/Alacant;Total;2017;135.480
03 Alicante/Alacant;Total;2016;133.124
04 Almería;Total;2023;42.724
04 Almería;Total;2022;45.281
04 Almería;Total;2021;44.437
04 Almería;Total;2020;44.092
04 Almería;Total;2019;43.406
04 Almería;Total;2018;42.931
04 Almería;Total;2017;42.329
04 Almería;Total;2016;41.212
01 Araba/Álava;Total;2023;17.629
01 Araba/Álava;Total;2022;18.771
01 Araba/Álava;Total;2021;18.628
01 Araba/Álava;Total;2020;18.851
01 Araba/Álava;Total;2019;18.678
01 Araba/Álava;Total;2018;19.147
01 Araba/Álava;Total;2017;18.518
01 Araba/Álava;Total;2016;20.034
33 Asturias;Total;2023;64.611
33 Asturias;Total;2022;68.068
33 Asturias;Total;2021;67.573
33 Asturias;Total;2020;68.433
33 Asturias;Total;2019;68.661
33 Asturias;Total;2018;68.688
33 Asturias;Total;2017;68.368
33 Asturias;Total;2016;67.675
05 Ávila;Total;2023;9.670
05 Ávila;Total;2022;10.099
05 Ávila;Total;2021;10.045
05 Ávila;Total;2020;10.198
05 Ávila;Total;2019;10.157
05 Ávila;Total;2018;10.170
05 Ávila;Total;2017;10.178
05 Ávila;Total;2016;10.080
06 Badajoz;Total;2023;39.274
06 Badajoz;Total;2022;41.845
06 Badajoz;Total;2021;41.122
06 Badajoz;Total;2020;41.661
06 Badajoz;Total;2019;41.949
06 Badajoz;Total;2018;41.490
06 Badajoz;Total;2017;40.773
06 Badajoz;Total;2016;40.494
07 Balears, Illes;Total;2023;97.784
07 Balears, Illes;Total;2022;101.236
07 Balears, Illes;Total;2021;98.120
07 Balears, Illes;Total;2020;100.022
07 Balears, Illes;Total;2019;98.712
07 Balears, Illes;Total;2018;96.638
07 Balears, Illes;Total;2017;93.067
07 Balears, Illes;Total;2016;89.341
08 Barcelona;Total;2023;445.119
08 Barcelona;Total;2022;480.301
08 Barcelona;Total;2021;471.885
08 Barcelona;Total;2020;477.734
08 Barcelona;Total;2019;470.067
08 Barcelona;Total;2018;468.777
08 Barcelona;Total;2017;460.778
08 Barcelona;Total;2016;450.451
48 Bizkaia;Total;2023;70.780
48 Bizkaia;Total;2022;75.416
48 Bizkaia;Total;2021;73.615
48 Bizkaia;Total;2020;75.370
48 Bizkaia;Total;2019;74.741
48 Bizkaia;Total;2018;75.628
48 Bizkaia;Total;2017;73.488
48 Bizkaia;Total;2016;79.166
09 Burgos;Total;2023;23.673
09 Burgos;Total;2022;25.391
09 Burgos;Total;2021;25.238
09 Burgos;Total;2020;25.593
09 Burgos;Total;2019;25.857
09 Burgos;Total;2018;26.031
09 Burgos;Total;2017;25.811
09 Burgos;Total;2016;25.583
10 Cáceres;Total;2023;23.820
10 Cáceres;Total;2022;25.409
10 Cáceres;Total;2021;25.264
10 Cáceres;Total;2020;25.675
10 Cáceres;Total;2019;25.738
10 Cáceres;Total;2018;25.389
10 Cáceres;Total;2017;25.071
10 Cáceres;Total;2016;24.990
11 Cádiz;Total;2023;62.867
11 Cádiz;Total;2022;65.560
11 Cádiz;Total;2021;63.833
11 Cádiz;Total;2020;63.374
11 Cádiz;Total;2019;61.786
11 Cádiz;Total;2018;60.690
11 Cádiz;Total;2017;60.169
11 Cádiz;Total;2016;58.658
39 Cantabria;Total;2023;37.801
39 Cantabria;Total;2022;38.960
39 Cantabria;Total;2021;38.636
39 Cantabria;Total;2020;38.880
39 Cantabria;Total;2019;38.702
39 Cantabria;Total;2018;38.522
39 Cantabria;Total;2017;38.459
39 Cantabria;Total;2016;37.696
12 Castellón/Castelló;Total;2023;38.897
12 Castellón/Castelló;Total;2022;41.269
12 Castellón/Castelló;Total;2021;40.620
12 Castellón/Castelló;Total;2020;40.796
12 Castellón/Castelló;Total;2019;39.742
