Sexo;Provincias;Tasas;Periodo;Total
Ambos sexos;02 Albacete;Tasa de actividad;2023T4;57,42
Ambos sexos;02 Albacete;Tasa de actividad;2022T4;58,46
Ambos sexos;02 Albacete;Tasa de actividad;2021T4;54,60
Ambos sexos;02 Albacete;Tasa de actividad;2020T4;58,90
Ambos sexos;02 Albacete;Tasa de actividad;2019T4;55,54
Ambos sexos;02 Albacete;Tasa de actividad;2018T4;59,13
Ambos sexos;02 Albacete;Tasa de actividad;2017T4;59,72
Ambos sexos;02 Albacete;Tasa de actividad;2016T4;56,01
Ambos sexos;02 Albacete;Tasa de paro de la población;2023T4;12,09
Ambos sexos;02 Albacete;Tasa de paro de la población;2022T4;11,11
Ambos sexos;02 Albacete;Tasa de paro de la población;2021T4;12,02
Ambos sexos;02 Albacete;Tasa de paro de la población;2020T4;17,44
Ambos sexos;02 Albacete;Tasa de paro de la población;2019T4;16,69
Ambos sexos;02 Albacete;Tasa de paro de la población;2018T4;17,59
Ambos sexos;02 Albacete;Tasa de paro de la población;2017T4;22,01
Ambos sexos;02 Albacete;Tasa de paro de la población;2016T4;23,31
Ambos sexos;02 Albacete;Tasa de empleo de la población;2023T4;50,47
Ambos sexos;02 Albacete;Tasa de empleo de la población;2022T4;51,96
Ambos sexos;02 Albacete;Tasa de empleo de la población;2021T4;48,04
Ambos sexos;02 Albacete;Tasa de empleo de la población;2020T4;48,63
Ambos sexos;02 Albacete;Tasa de empleo de la población;2019T4;46,27
Ambos sexos;02 Albacete;Tasa de empleo de la población;2018T4;48,73
Ambos sexos;02 Albacete;Tasa de empleo de la población;2017T4;46,57
Ambos sexos;02 Albacete;Tasa de empleo de la población;2016T4;42,96
Ambos sexos;03 Alicante/Alacant;Tasa de actividad;2023T4;58,64
Ambos sexos;03 Alicante/Alacant;Tasa de actividad;2022T4;59,98
Ambos sexos;03 Alicante/Alacant;Tasa de actividad;2021T4;57,96
Ambos sexos;03 Alicante/Alacant;Tasa de actividad;2020T4;56,99
Ambos sexos;03 Alicante/Alacant;Tasa de actividad;2019T4;59,24
Ambos sexos;03 Alicante/Alacant;Tasa de actividad;2018T4;56,73
Ambos sexos;03 Alicante/Alacant;Tasa de actividad;2017T4;58,43
Ambos sexos;03 Alicante/Alacant;Tasa de actividad;2016T4;58,59
Ambos sexos;03 Alicante/Alacant;Tasa de paro de la población;2023T4;13,33
Ambos sexos;03 Alicante/Alacant;Tasa de paro de la población;2022T4;15,57
Ambos sexos;03 Alicante/Alacant;Tasa de paro de la población;2021T4;18,91
Ambos sexos;03 Alicante/Alacant;Tasa de paro de la población;2020T4;19,41
Ambos sexos;03 Alicante/Alacant;Tasa de paro de la población;2019T4;15,68
Ambos sexos;03 Alicante/Alacant;Tasa de paro de la población;2018T4;15,63
Ambos sexos;03 Alicante/Alacant;Tasa de paro de la población;2017T4;17,96
Ambos sexos;03 Alicante/Alacant;Tasa de paro de la población;2016T4;18,21
Ambos sexos;03 Alicante/Alacant;Tasa de empleo de la población;2023T4;50,83
Ambos sexos;03 Alicante/Alacant;Tasa de empleo de la población;2022T4;50,63
Ambos sexos;03 Alicante/Alacant;Tasa de empleo de la población;2021T4;47,00
Ambos sexos;03 Alicante/Alacant;Tasa de empleo de la población;2020T4;45,92
Ambos sexos;03 Alicante/Alacant;Tasa de empleo de la población;2019T4;49,95
Ambos sexos;03 Alicante/Alacant;Tasa de empleo de la población;2018T4;47,86
Ambos sexos;03 Alicante/Alacant;Tasa de empleo de la población;2017T4;47,94
Ambos sexos;03 Alicante/Alacant;Tasa de empleo de la población;2016T4;47,93
Ambos sexos;04 Almería;Tasa de actividad;2023T4;59,17
Ambos sexos;04 Almería;Tasa de actividad;2022T4;62,11
Ambos sexos;04 Almería;Tasa de actividad;2021T4;62,89
Ambos sexos;04 Almería;Tasa de actividad;2020T4;59,73
Ambos sexos;04 Almería;Tasa de actividad;2019T4;60,72
Ambos sexos;04 Almería;Tasa de actividad;2018T4;59,33
Ambos sexos;04 Almería;Tasa de actividad;2017T4;62,55
Ambos sexos;04 Almería;Tasa de actividad;2016T4;61,37
Ambos sexos;04 Almería;Tasa de paro de la población;2023T4;14,58
Ambos sexos;04 Almería;Tasa de paro de la población;2022T4;16,36
Ambos sexos;04 Almería;Tasa de paro de la población;2021T4;15,86
Ambos sexos;04 Almería;Tasa de paro de la población;2020T4;21,15
Ambos sexos;04 Almería;Tasa de paro de la población;2019T4;18,53
Ambos sexos;04 Almería;Tasa de paro de la población;2018T4;18,77
Ambos sexos;04 Almería;Tasa de paro de la población;2017T4;25,43
Ambos sexos;04 Almería;Tasa de paro de la población;2016T4;24,84
Ambos sexos;04 Almería;Tasa de empleo de la población;2023T4;50,54
Ambos sexos;04 Almería;Tasa de empleo de la población;2022T4;51,95
Ambos sexos;04 Almería;Tasa de empleo de la población;2021T4;52,92
Ambos sexos;04 Almería;Tasa de empleo de la población;2020T4;47,09
Ambos sexos;04 Almería;Tasa de empleo de la población;2019T4;49,47
Ambos sexos;04 Almería;Tasa de empleo de la población;2018T4;48,20
Ambos sexos;04 Almería;Tasa de empleo de la población;2017T4;46,64
Ambos sexos;04 Almería;Tasa de empleo de la población;2016T4;46,13
Ambos sexos;01 Araba/Álava;Tasa de actividad;2023T4;56,43
Ambos sexos;01 Araba/Álava;Tasa de actividad;2022T4;58,57
Ambos sexos;01 Araba/Álava;Tasa de actividad;2021T4;58,91
Ambos sexos;01 Araba/Álava;Tasa de actividad;2020T4;55,11
Ambos sexos;01 Araba/Álava;Tasa de actividad;2019T4;56,40
Ambos sexos;01 Araba/Álava;Tasa de actividad;2018T4;58,13
Ambos sexos;01 Araba/Álava;Tasa de actividad;2017T4;57,96
Ambos sexos;01 Araba/Álava;Tasa de actividad;2016T4;58,85
Ambos sexos;01 Araba/Álava;Tasa de paro de la población;2023T4;5,26
Ambos sexos;01 Araba/Álava;Tasa de paro de la población;2022T4;7,87
Ambos sexos;01 Araba/Álava;Tasa de paro de la población;2021T4;9,48
Ambos sexos;01 Araba/Álava;Tasa de paro de la población;2020T4;9,99
Ambos sexos;01 Araba/Álava;Tasa de paro de la población;2019T4;7,31
Ambos sexos;01 Araba/Álava;Tasa de paro de la población;2018T4;7,39
Ambos sexos;01 Araba/Álava;Tasa de paro de la población;2017T4;9,04
Ambos sexos;01 Araba/Álava;Tasa de paro de la población;2016T4;11,97
Ambos sexos;01 Araba/Álava;Tasa de empleo de la población;2023T4;53,47
Ambos sexos;01 Araba/Álava;Tasa de empleo de la población;2022T4;53,96
Ambos sexos;01 Araba/Álava;Tasa de empleo de la población;2021T4;53,32
Ambos sexos;01 Araba/Álava;Tasa de empleo de la población;2020T4;49,60
Ambos sexos;01 Araba/Álava;Tasa de empleo de la población;2019T4;52,28
Ambos sexos;01 Araba/Álava;Tasa de empleo de la población;2018T4;53,83
Ambos sexos;01 Araba/Álava;Tasa de empleo de la población;2017T4;52,72
Ambos sexos;01 Araba/Álava;Tasa de empleo de la población;2016T4;51,80
Ambos sexos;33 Asturias;Tasa de actividad;2023T4;50,05
Ambos sexos;33 Asturias;Tasa de actividad;2022T4;49,74
Ambos sexos;33 Asturias;Tasa de actividad;2021T4;49,75
Ambos sexos;33 Asturias;Tasa de actividad;2020T4;50,18
Ambos sexos;33 Asturias;Tasa de actividad;2019T4;50,77
Ambos sexos;33 Asturias;Tasa de actividad;2018T4;50,27
Ambos sexos;33 Asturias;Tasa de actividad;2017T4;50,67
Ambos sexos;33 Asturias;Tasa de actividad;2016T4;50,90
Ambos sexos;33 Asturias;Tasa de paro de la población;2023T4;11,62
Ambos sexos;33 Asturias;Tasa de paro de la población;2022T4;14,18
Ambos sexos;33 Asturias;Tasa de paro de la población;2021T4;10,10
Ambos sexos;33 Asturias;Tasa de paro de la población;2020T4;13,50
Ambos sexos;33 Asturias;Tasa de paro de la población;2019T4;13,14
Ambos sexos;33 Asturias;Tasa de paro de la población;2018T4;12,86
Ambos sexos;33 Asturias;Tasa de paro de la población;2017T4;14,64
Ambos sexos;33 Asturias;Tasa de paro de la población;2016T4;14,59
Ambos sexos;33 Asturias;Tasa de empleo de la población;2023T4;44,23
Ambos sexos;33 Asturias;Tasa de empleo de la población;2022T4;42,69
Ambos sexos;33 Asturias;Tasa de empleo de la población;2021T4;44,72
Ambos sexos;33 Asturias;Tasa de empleo de la población;2020T4;43,41
Ambos sexos;33 Asturias;Tasa de empleo de la población;2019T4;44,10
Ambos sexos;33 Asturias;Tasa de empleo de la población;2018T4;43,81
Ambos sexos;33 Asturias;Tasa de empleo de la población;2017T4;43,25
Ambos sexos;33 Asturias;Tasa de empleo de la población;2016T4;43,48
Ambos sexos;05 Ávila;Tasa de actividad;2023T4;52,02
Ambos sexos;05 Ávila;Tasa de actividad;2022T4;54,34
Ambos sexos;05 Ávila;Tasa de actividad;2021T4;53,48
