Total Nacional;Comunidades y Ciudades Autónomas;Provincias;Islas;Indicadores de renta media;Periodo;Total
Total Nacional;Andalucía;Almería;;Renta neta media por persona;2023;11.543
Total Nacional;Andalucía;Almería;;Renta neta media por persona;2022;10.605
Total Nacional;Andalucía;Almería;;Renta neta media por persona;2021;10.103
Total Nacional;Andalucía;Almería;;Renta neta media por persona;2020;9.709
Total Nacional;Andalucía;Almería;;Renta neta media por persona;2019;9.436
Total Nacional;Andalucía;Almería;;Renta neta media por persona;2018;9.072
Total Nacional;Andalucía;Almería;;Renta neta media por persona;2017;8.569
Total Nacional;Andalucía;Almería;;Renta neta media por persona;2016;8.207
Total Nacional;Andalucía;Almería;;Renta neta media por hogar;2023;30.936
Total Nacional;Andalucía;Almería;;Renta neta media por hogar;2022;28.442
Total Nacional;Andalucía;Almería;;Renta neta media por hogar;2021;27.184
Total Nacional;Andalucía;Almería;;Renta neta media por hogar;2020;26.276
Total Nacional;Andalucía;Almería;;Renta neta media por hogar;2019;25.698
Total Nacional;Andalucía;Almería;;Renta neta media por hogar;2018;24.714
Total Nacional;Andalucía;Almería;;Renta neta media por hogar;2017;23.399
Total Nacional;Andalucía;Almería;;Renta neta media por hogar;2016;22.666
Total Nacional;Andalucía;Cádiz;;Renta neta media por persona;2023;12.335
Total Nacional;Andalucía;Cádiz;;Renta neta media por persona;2022;11.396
Total Nacional;Andalucía;Cádiz;;Renta neta media por persona;2021;10.712
Total Nacional;Andalucía;Cádiz;;Renta neta media por persona;2020;10.113
Total Nacional;Andalucía;Cádiz;;Renta neta media por persona;2019;10.055
Total Nacional;Andalucía;Cádiz;;Renta neta media por persona;2018;9.509
Total Nacional;Andalucía;Cádiz;;Renta neta media por persona;2017;9.028
Total Nacional;Andalucía;Cádiz;;Renta neta media por persona;2016;8.696
Total Nacional;Andalucía;Cádiz;;Renta neta media por hogar;2023;32.323
Total Nacional;Andalucía;Cádiz;;Renta neta media por hogar;2022;30.055
Total Nacional;Andalucía;Cádiz;;Renta neta media por hogar;2021;28.501
Total Nacional;Andalucía;Cádiz;;Renta neta media por hogar;2020;27.179
Total Nacional;Andalucía;Cádiz;;Renta neta media por hogar;2019;27.243
Total Nacional;Andalucía;Cádiz;;Renta neta media por hogar;2018;25.905
Total Nacional;Andalucía;Cádiz;;Renta neta media por hogar;2017;24.777
Total Nacional;Andalucía;Cádiz;;Renta neta media por hogar;2016;24.044
Total Nacional;Andalucía;Córdoba;;Renta neta media por persona;2023;12.386
Total Nacional;Andalucía;Córdoba;;Renta neta media por persona;2022;11.569
Total Nacional;Andalucía;Córdoba;;Renta neta media por persona;2021;10.979
Total Nacional;Andalucía;Córdoba;;Renta neta media por persona;2020;10.314
Total Nacional;Andalucía;Córdoba;;Renta neta media por persona;2019;10.182
Total Nacional;Andalucía;Córdoba;;Renta neta media por persona;2018;9.710
Total Nacional;Andalucía;Córdoba;;Renta neta media por persona;2017;9.290
Total Nacional;Andalucía;Córdoba;;Renta neta media por persona;2016;8.892
Total Nacional;Andalucía;Córdoba;;Renta neta media por hogar;2023;30.917
Total Nacional;Andalucía;Córdoba;;Renta neta media por hogar;2022;29.082
Total Nacional;Andalucía;Córdoba;;Renta neta media por hogar;2021;27.909
Total Nacional;Andalucía;Córdoba;;Renta neta media por hogar;2020;26.462
