,Provincia_x,Comunidad autónoma,Capital,Ciudad más poblada*,Código postal,Código Ministerio del Interior,Superficie (km²),Población,Densidad (hab./km²),Presupuesto (€),Extranjeros totales,% de extranjeros,Porcentaje población,Porcentaje superficie,PIB_2016,PIB_2017,PIB_2018,PIB_2019,PIB_2020,PIB_2021,PIB_2022,PIB_2023,TCAC 2016-23,Órgano de gobierno y administración,Sede (ciudad),actividad_2016,actividad_2017,actividad_2018,actividad_2019,actividad_2020,actividad_2021,actividad_2022,actividad_2023,empleo_2016,empleo_2017,empleo_2018,empleo_2019,empleo_2020,empleo_2021,empleo_2022,empleo_2023,paro_2016,paro_2017,paro_2018,paro_2019,paro_2020,paro_2021,paro_2022,paro_2023,Provincias,Renta_neta_media_hogar_2016,Renta_neta_media_hogar_2017,Renta_neta_media_hogar_2018,Renta_neta_media_hogar_2019,Renta_neta_media_hogar_2020,Renta_neta_media_hogar_2021,Renta_neta_media_hogar_2022,Renta_neta_media_hogar_2023,Renta_neta_media_persona_2016,Renta_neta_media_persona_2017,Renta_neta_media_persona_2018,Renta_neta_media_persona_2019,Renta_neta_media_persona_2020,Renta_neta_media_persona_2021,Renta_neta_media_persona_2022,Renta_neta_media_persona_2023,Residentes_España_2016,Residentes_España_2017,Residentes_España_2018,Residentes_España_2019,Residentes_España_2020,Residentes_España_2021,Residentes_España_2022,Residentes_España_2023,Residentes_Extranjero_2016,Residentes_Extranjero_2017,Residentes_Extranjero_2018,Residentes_Extranjero_2019,Residentes_Extranjero_2020,Residentes_Extranjero_2021,Residentes_Extranjero_2022,Residentes_Extranjero_2023,Provincia_y,Provincia,Num_empresas_2016,Num_empresas_2017,Num_empresas_2018,Num_empresas_2019,Num_empresas_2020,Num_empresas_2021,Num_empresas_2022,Num_empresas_2023,Tasa_actividad_media_2016_2023,Tasa_empleo_media_2016_2023,Tasa_paro_media_2016_2023,Renta_neta_media_persona_2016_2023,Renta_neta_media_hogar_2016_2023,Num_empresas_media_2016_2023,Residentes_España_media_2016_2023,Residentes_Extranjero_media_2016_2023
0,Albacete,Castilla-La Mancha,Albacete,Albacete,2,AB,14924.0,390751,26.18,179014529.0,32439,7.4,0.8,2.95,7570409,7992903,8285269,8627212,8010434,8853382,9526877,10285196,35.86,Diputación de Albacete,Palacio Provincial de Albacete (Albacete),56.01,59.72,59.13,55.54,58.9,54.6,58.46,57.42,42.96,46.57,48.73,46.27,48.63,48.04,51.96,50.47,23.31,22.01,17.59,16.69,17.44,12.02,11.11,12.09,Albacete,24785.0,25627.0,26719.0,27995.0,28288.0,29451.0,30908.0,326.0,9446.0,9847.0,10351.0,10901.0,11104.0,11652.0,12305.0,13058.0,63749.0,70255.0,72286.0,75461.0,41093.0,62895.0,83629.0,97485.0,477.0,452.0,1636.0,1442.0,195.0,234.0,926.0,821.0,Albacete,Albacete,26884.0,26921.0,26743.0,26275.0,26350.0,26221.0,26473.0,24852.0,57.4725,47.95375,16.5325,11083.0,24262.375,26339.875,70856.625,772.875
1,Alicante,Comunidad Valenciana,Alicante,Alicante,3,A,5816.0,2033566,349.59,313871224.0,456257,21.8,4.14,1.15,33899084,35422930,36463569,37807882,34503374,38470028,41939432,46472807,37.09,Diputación de Alicante,Palacio Provincial de Alicante (Alicante),58.59,58.43,56.73,59.24,56.99,57.96,59.98,58.64,47.93,47.94,47.86,49.95,45.92,47.0,50.63,50.83,18.21,17.96,15.63,15.68,19.41,18.91,15.57,13.33,Alicante/Alacant,23165.0,24112.0,25161.0,26293.0,26274.0,2738.0,28965.0,31507.0,8814.0,9313.0,9736.0,10177.0,10236.0,1077.0,11378.0,12313.0,27857.0,35255.0,39689.0,49300.0,31758.0,30875.0,36578.0,47576.0,4922.0,9064.0,9121.0,10328.0,3630.0,3611.0,7649.0,12983.0,Alicante,,,,,,,,,,58.32,48.5075,16.837500000000002,9130.5,23526.875,,37361.0,7663.5
2,Almería,Andalucía,Almería,Almería,4,AL,8774.0,770554,87.81,225750000.0,168886,17.3,1.57,1.73,14185706,15159388,15282092,16003582,14764342,14861150,16494994,18250223,28.65,Diputación de Almería,Edificio de la Diputación Provincial de Almería (Almería),61.37,62.55,59.33,60.72,59.73,62.89,62.11,59.17,46.13,46.64,48.2,49.47,47.09,52.92,51.95,50.54,24.84,25.43,18.77,18.53,21.15,15.86,16.36,14.58,Almería,22666.0,23399.0,24714.0,25698.0,26276.0,27184.0,28442.0,30936.0,8207.0,8569.0,9072.0,9436.0,9709.0,10103.0,10605.0,11543.0,12344.0,15729.0,12463.0,13802.0,8121.0,14694.0,19423.0,20876.0,5188.0,8012.0,6871.0,6715.0,1235.0,3716.0,4957.0,8812.0,Almería,Almería,41212.0,42329.0,42931.0,43406.0,44092.0,44437.0,45281.0,42724.0,60.98375,49.11750000000001,19.44,9655.5,26164.375,43301.5,14681.5,5688.25
3,Araba/Álava,País Vasco,Vitoria,Vitoria,1,VI,3037.0,341961,112.6,434606945.0,36831,9.1,0.7,0.6,11960737,12336129,12721159,12797528,11764228,11958641,12838267,14090604,17.81,Diputación Foral de Álava,Palacio de la Diputación Foral de Álava (Vitoria),58.85,57.96,58.13,56.4,55.11,58.91,58.57,56.43,51.8,52.72,53.83,52.28,49.6,53.32,53.96,53.47,11.97,9.04,7.39,7.31,9.99,9.48,7.87,5.26,Araba/Álava,,,,,35412.0,36546.0,38586.0,41914.0,,,,,14962.0,15539.0,16403.0,17806.0,27955.0,28411.0,24926.0,26607.0,11638.0,25310.0,29264.0,30270.0,4748.0,4089.0,4870.0,3811.0,397.0,1225.0,3808.0,7214.0,Araba/Álava,Araba/Álava,20034.0,18518.0,19147.0,18678.0,18851.0,18628.0,18771.0,17629.0,57.545,52.6225,8.53875,16177.5,38114.5,18782.0,25547.625,3770.25
4,Asturias,Asturias,Oviedo,Gijón,33,O,10603.0,1015128,95.73,291900000.0,58387,12.5,2.07,2.1,21675441,22538267,23185680,23666618,21376392,23617641,26690102,28350371,30.79,No tiene[1]​,No tiene[1]​,50.9,50.67,50.27,50.77,50.18,49.75,49.74,50.05,43.48,43.25,43.81,44.1,43.41,44.72,42.69,44.23,14.59,14.64,12.86,13.14,13.5,10.1,14.18,11.62,Asturias,28303.0,28866.0,29637.0,30798.0,30658.0,31623.0,33242.0,35265.0,12147.0,12489.0,12923.0,13465.0,13505.0,14057.0,14842.0,15784.0,209459.0,253794.0,254661.0,274704.0,183816.0,233239.0,244450.0,259414.0,19399.0,29091.0,32032.0,28840.0,5976.0,12917.0,23167.0,39599.0,Asturias,Asturias,67675.0,68368.0,68688.0,68661.0,68433.0,67573.0,68068.0,64611.0,50.291250000000005,43.71125,13.07875,13651.5,31049.0,67759.625,239192.125,23877.625
5,Badajoz,Extremadura,Badajoz,Badajoz,6,BA,21766.0,665155,30.56,122565847.0,25469,6.6,1.35,4.3,11776505,12419839,12609609,12838980,11979224,12729424,13644123,14927003,26.75,Diputación de Badajoz,,56.35,55.85,56.4,56.16,55.73,54.98,56.34,56.49,38.46,40.76,42.8,42.32,42.96,43.81,45.74,46.55,31.75,27.01,24.1,24.64,22.91,20.33,18.81,17.6,Badajoz,22222.0,22872.0,2378.0,24819.0,24905.0,2605.0,27243.0,29231.0,8643.0,8971.0,9417.0,9895.0,10001.0,10549.0,11158.0,12068.0,28220.0,31527.0,32874.0,37043.0,21679.0,30662.0,47448.0,53814.0,2545.0,3323.0,3782.0,5103.0,1184.0,2275.0,6399.0,7456.0,Badajoz,Badajoz,40494.0,40773.0,41490.0,41949.0,41661.0,41122.0,41845.0,39274.0,56.03750000000001,42.925000000000004,23.39375,10087.75,19534.375,41076.0,35408.375,4008.375
6,Barcelona,Cataluña,Barcelona,Barcelona,8,B,7733.0,5959941,771.21,3595900000.0,1015499,22.3,12.13,1.53,158516150,166618005,173436258,180560179,161885097,173917445,191251096,209563285,32.2,Diputación de Barcelona,Casa Serra (Barcelona),62.33,62.04,61.89,61.7,61.35,61.61,61.21,63.02,53.15,54.52,54.87,55.24,52.97,55.69,54.76,57.58,14.73,12.13,11.34,10.47,13.67,9.61,10.54,8.64,Barcelona,34679.0,35469.0,37044.0,38386.0,38226.0,39511.0,41594.0,44243.0,13256.0,13622.0,14198.0,14656.0,14676.0,15297.0,16105.0,17062.0,98061.0,108295.0,124986.0,139729.0,73249.0,111038.0,140459.0,137437.0,16547.0,20585.0,19241.0,29267.0,2302.0,9457.0,22020.0,25860.0,Barcelona,Barcelona,450451.0,460778.0,468777.0,470067.0,477734.0,471885.0,480301.0,445119.0,61.89375,54.8475,11.391250000000001,14859.0,38644.0,465639.0,116656.75,18159.875
7,Bizkaia,País Vasco,Bilbao,Bilbao,48,BI,2217.0,1167233,526.49,663500000.0,105893,14.6,2.38,0.44,33686330,34314272,35599877,36737656,33016596,35910195,41009633,44229902,31.3,Diputación Foral de Vizcaya,Palacio de la Diputación Foral de Vizcaya (Bilbao),56.84,56.02,56.22,55.42,54.66,57.07,56.72,58.49,49.03,49.11,49.77,49.56,48.18,51.34,51.59,54.59,13.75,12.34,11.47,10.58,11.86,10.04,9.05,6.68,Bizkaia,34622.0,35326.0,36364.0,37523.0,37242.0,3839.0,40694.0,44425.0,14216.0,14605.0,15047.0,15547.0,15555.0,16192.0,17225.0,18738.0,36919.0,39626.0,36409.0,38301.0,15103.0,27629.0,37178.0,43576.0,8414.0,12260.0,10174.0,13335.0,1848.0,2869.0,12353.0,16084.0,Bizkaia,Bizkaia,79166.0,73488.0,75628.0,74741.0,75370.0,73615.0,75416.0,70780.0,56.42999999999999,50.39625000000001,10.721249999999998,15890.625,33754.375,74775.5,34342.625,9667.125
8,Burgos,Castilla y León,Burgos,Burgos,9,BU,14292.0,362663,25.38,220000000.0,35158,8.2,0.74,2.82,9572090,10054308,10494196,10628487,9620320,10224118,10709841,11303996,18.09,Diputación de Burgos,,59.21,56.8,58.24,57.58,57.01,57.78,58.25,57.25,53.01,50.51,51.86,52.2,51.65,52.21,54.05,52.57,10.47,11.08,10.96,9.34,9.4,9.65,7.22,8.18,Burgos,29391.0,29949.0,3124.0,32106.0,32078.0,33203.0,3453.0,36605.0,12375.0,12701.0,13316.0,13713.0,13777.0,14357.0,15017.0,15988.0,79837.0,82867.0,95514.0,95877.0,37669.0,62969.0,97924.0,119259.0,15678.0,14829.0,17107.0,14243.0,2907.0,8219.0,14011.0,23579.0,Burgos,Burgos,25583.0,25811.0,26031.0,25857.0,25593.0,25238.0,25391.0,23673.0,57.765,52.25749999999999,9.537500000000001,13905.5,24988.625,25397.125,83989.5,13821.625
9,Cantabria,Cantabria,Santander,Santander,39,S,5325.0,593623,111.56,223600000.0,44242,9.8,1.21,1.05,12833899,13318023,13843935,14274351,12991241,14206538,15557155,16740663,29.93,No tiene[4]​,No tiene[4]​,56.2,55.85,54.29,55.73,54.12,54.96,54.15,54.45,48.95,48.32,49.04,49.5,47.74,48.6,48.44,50.43,12.89,13.49,9.68,11.18,11.79,11.58,10.53,7.39,Cantabria,28847.0,29534.0,30651.0,31698.0,31545.0,32734.0,34461.0,36412.0,11503.0,11874.0,12389.0,12852.0,12865.0,13425.0,14211.0,15043.0,204269.0,233249.0,215520.0,229445.0,129405.0,207108.0,260986.0,232710.0,21068.0,22236.0,25915.0,29607.0,11193.0,21304.0,35590.0,40297.0,Cantabria,Cantabria,37696.0,38459.0,38522.0,38702.0,38880.0,38636.0,38960.0,37801.0,54.96874999999999,48.877500000000005,11.06625,13020.25,31985.25,38457.0,214086.5,25901.25
