Provincia,Comunidad autónoma,Superficie (km²),Población,Densidad (hab./km²),Presupuesto (€),PIB_2023,% de extranjeros,Renta_neta_media_persona_2023,Renta_neta_media_hogar_2023,Num_empresas_2023,actividad_media_2016_2023,empleo_media_2016_2023,paro_media_2016_2023,Renta_neta_media_persona_2016_2023,Renta_neta_media_hogar_2016_2023,Num_empresas_media_2016_2023,Residentes_España_media_2016_2023,Residentes_Extranjero_media_2016_2023,PIB_alto
Albacete,Castilla-La Mancha,14924.0,390751,26.18,179014529.0,10285196,7.4,13058,32600,24852,57.4725,47.95375,16.5325,11083.0,28296.625,26339.875,70856.625,772.875,0
Alicante,Comunidad Valenciana,5816.0,2033566,349.59,313871224.0,46472807,21.8,12313,31507,136754,58.32,48.5075,16.837500000000002,10342.125,26607.125,140568.125,37361.0,7663.5,1
Almería,Andalucía,8774.0,770554,87.81,225750000.0,18250223,17.3,11543,30936,42724,60.98375,49.11750000000001,19.44,9655.5,26164.375,43301.5,14681.5,5688.25,0
Araba/Álava,País Vasco,3037.0,341961,112.6,434606945.0,14090604,9.1,17806,41914,17629,57.545,52.6225,8.53875,16177.5,38114.5,18782.0,25547.625,3770.25,0
Asturias,Asturias,10603.0,1015128,95.73,291900000.0,28350371,12.5,15784,35265,64611,50.291250000000005,43.71125,13.07875,13651.5,31049.0,67759.625,239192.125,23877.625,0
Badajoz,Extremadura,21766.0,665155,30.56,122565847.0,14927003,6.6,12068,29231,39274,56.03750000000001,42.925000000000004,23.39375,10087.75,25140.25,41076.0,35408.375,4008.375,0
Barcelona,Cataluña,7733.0,5959941,771.21,3595900000.0,209563285,22.3,17062,44243,445119,61.89375,54.8475,11.391250000000001,14859.0,38644.0,465639.0,116656.75,18159.875,1
Bizkaia,País Vasco,2217.0,1167233,526.49,663500000.0,44229902,14.6,18738,44425,70780,56.42999999999999,50.39625000000001,10.721249999999998,15890.625,38073.25,74775.5,34342.625,9667.125,1
Burgos,Castilla y León,14292.0,362663,25.38,220000000.0,11303996,8.2,15988,36605,23673,57.765,52.25749999999999,9.537500000000001,13905.5,32387.75,25397.125,83989.5,13821.625,0
Cantabria,Cantabria,5325.0,593623,111.56,223600000.0,16740663,9.8,15043,36412,37801,54.96874999999999,48.877500000000005,11.06625,13020.25,31985.25,38457.0,214086.5,25901.25,0
Castellón,Comunidad Valenciana,6632.0,627620,94.21,214539390.0,17661943,14.7,14029,34497,38897,57.20125,48.948750000000004,14.42,12125.375,30061.0,39992.125,44018.25,1215.75,0
Ceuta,Ceuta,19.0,83567,4178.35,220000000.0,1862863,3.4,14625,44907,3369,57.55625,41.3775,27.99125,12329.375,39198.5,3752.25,47563.8125,5701.4375,0
Ciudad Real,Castilla-La Mancha,19813.0,494848,24.98,77173538.0,12447343,8.5,12529,31095,28597,55.55125,44.73375,19.45,10605.5,26995.5,30215.375,33489.625,834.625,0
Cuenca,Castilla-La Mancha,17140.0,199859,11.66,100110251.0,5859753,6.9,12725,30641,12837,55.845,48.775000000000006,12.63875,10890.75,26601.25,13500.625,53980.75,4620.125,0
Cáceres,Extremadura,19868.0,388190,19.54,170809446.0,10265612,4.9,12771,28614,23820,53.338750000000005,43.21124999999999,18.98,10724.0,24575.5,25169.5,140897.875,14443.25,0
Cádiz,Andalucía,7436.0,1261420,169.55,190171566.0,26783989,12.7,12335,32323,62867,54.69125,40.13875,26.56125,10230.5,27503.375,62117.125,19606.25,7742.25,0
Córdoba,Andalucía,13771.0,773163,56.14,552000000.0,17217243,6.9,12386,30917,46390,56.567499999999995,44.01,22.1475,10415.25,26729.375,47532.75,29849.75,7178.125,0
Gipuzkoa,País Vasco,1909.0,733149,370.28,461900000.0,28427601,12.7,19616,46514,46450,55.928749999999994,51.48,7.9625,16755.375,39791.75,48777.0,60356.25,16655.875,0
Girona,Cataluña,5910.0,830429,140.51,132255950.0,29157484,17.5,15130,40105,62848,61.64625,54.540000000000006,11.52375,13013.0,34582.875,63256.625,153862.125,26480.75,0
Granada,Andalucía,12531.0,945797,74.78,307100186.0,20836996,13.6,12709,31314,59279,56.896249999999995,43.83,22.945,10602.625,26729.75,59854.25,20610.375,9463.75,0
Guadalajara,Castilla-La Mancha,12214.0,285839,23.4,91000000.0,6878584,9.6,14689,37803,13284,64.3925,56.456250000000004,12.3075,12713.375,32713.25,13443.25,53844.625,2369.625,0
Huelva,Andalucía,10148.0,538789,53.2,175000000.0,13183665,12.4,12008,31066,25345,55.4575,42.45,23.464999999999996,10104.375,26637.5,25184.625,35328.375,3815.125,0
Huesca,Aragón,15636.0,230087,14.72,58018000.0,8167881,7.5,15140,37009,15646,57.931250000000006,52.11,10.05,13140.375,32505.25,16318.625,81657.0,12237.5,0
Islas Baleares,Islas Baleares,4992.0,1249844,250.37,487000000.0,41502526,18.2,16118,44812,97784,61.7725,53.975,12.62625,13364.75,37045.875,96865.0,58792.25,239859.25,1
Jaén,Andalucía,13496.0,618143,45.8,317240000.0,13052058,6.1,11847,29119,33777,53.0925,41.330000000000005,22.0875,10066.75,25460.25,34249.75,30235.375,2231.25,0
La Coruña,Galicia,7950.0,1135623,142.83,375000000.0,33477736,12.5,15319,36978,76652,53.902499999999996,47.8675,11.17625,12979.125,32067.375,81354.125,41443.125,24671.125,1
La Rioja,La Rioja,5045.0,326803,64.78,191500000.0,10476650,10.6,14827,35555,21178,59.09125,53.056250000000006,10.215,12935.5,31352.5,22609.5,29642.625,2711.25,0
Las Palmas,Canarias,4066.0,1171547,288.13,485000000.0,28124631,15.5,13806,37032,70871,60.35,48.32625,19.9825,11464.5,31229.375,75250.375,9233.625,12710.75,0
León,Castilla y León,15581.0,448030,28.75,142305758.0,12193704,6.3,15110,33378,27952,50.10375,43.82625,12.523750000000001,12950.0,29332.5,30486.25,81989.625,16571.125,0
Lleida,Cataluña,12172.0,458226,37.65,228000000.0,15081546,14.4,14713,37826,31595,61.06875,54.84875000000001,10.161250000000003,12797.75,33020.25,33188.625,74016.625,5046.75,0
